,_id,timestamp,device_id,battery_status,battery_level,battery_scale,battery_voltage,battery_temperature,battery_adaptor,battery_health,battery_technology
0,1,1411636479345.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,2,42,100,3773,29,2,2,Li-ion
1,2,1411636524674.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,2,42,100,3773,29,2,2,Li-ion
2,3,1411636554000.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,2,42,100,3772,29,2,2,Li-ion
3,4,1411636594603.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,2,41,100,3762,29,2,2,Li-ion
4,5,1411636654893.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,2,41,100,3771,29,2,2,Li-ion
5,6,1411636714945.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,2,41,100,3761,29,2,2,Li-ion
6,7,1411636775073.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,2,41,100,3766,29,2,2,Li-ion
7,8,1411636838266.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,2,41,100,3752,29,2,2,Li-ion
8,9,1411636895531.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,2,41,100,3763,29,2,2,Li-ion
9,10,1411636955577.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,2,41,100,3759,29,2,2,Li-ion
10,11,1411636992088.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,3,41,100,3778,30,0,2,Li-ion
11,12,1411636993982.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,3,41,100,3733,30,0,2,Li-ion
12,13,1411636996385.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,2,41,100,3739,30,2,2,Li-ion
13,14,1411636998374.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,2,41,100,3764,30,2,2,Li-ion
14,15,1411637058598.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,2,40,100,3763,30,2,2,Li-ion
15,16,1411637118766.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,2,40,100,3765,30,2,2,Li-ion
16,17,1411637178933.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,2,40,100,3758,30,2,2,Li-ion
17,18,1411637239104.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,2,40,100,3744,30,2,2,Li-ion
18,19,1411637299261.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,2,40,100,3761,30,2,2,Li-ion
19,20,1411637359402.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,2,40,100,3781,30,2,2,Li-ion
20,21,1411637419556.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,2,40,100,3778,30,2,2,Li-ion
