,_id,timestamp,device_id,double_values_0,double_values_1,double_values_2,accuracy,label
0,1,1411636678878.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.100371360778809,-0.38013458251953125,4.532686233520508,0,
1,2,1411636679136.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.12069034576416,-0.38608983159065247,4.479329586029053,0,
2,3,1411636679253.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.125428199768066,-0.3570624887943268,4.434492111206055,0,
3,4,1411636679440.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.088796615600586,-0.2758348882198334,4.410846710205078,0,
4,5,1411636679521.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.064400672912598,-0.17750884592533112,4.393754482269287,0,
5,6,1411636679604.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.083670616149902,-0.12347260117530823,4.374928951263428,0,
6,7,1411636679708.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.095236778259277,-0.12602928280830383,4.359001636505127,0,
7,8,1411636679819.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.076089859008789,-0.1386125683784485,4.347611427307129,0,
8,9,1411636679979.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.054312705993652,-0.13699783384799957,4.348891258239746,0,
9,10,1411636680224.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.068582534790039,-0.12892189621925354,4.355967998504639,0,
10,11,1411636680298.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.130232810974121,-0.1193588450551033,4.347917079925537,0,
11,12,1411636680394.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.202308654785156,-0.11097867041826248,4.342483043670654,0,
12,13,1411636680538.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.256847381591797,-0.10482234507799149,4.347622394561768,0,
13,14,1411636680620.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.300461769104004,-0.10094685107469559,4.315554618835449,0,
14,15,1411636680716.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.30548095703125,-0.10717565566301346,4.247322082519531,0,
15,16,1411636680846.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.2333402633667,-0.1417406052350998,4.224811553955078,0,
16,17,1411636680973.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.130380630493164,-0.17474840581417084,4.261585235595703,0,
17,18,1411636681167.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.074324607849121,-0.1674870103597641,4.286401271820068,0,
18,19,1411636681295.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.101252555847168,-0.13418298959732056,4.2840986251831055,0,
19,20,1411636681604.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.249473571777344,-0.08845235407352448,4.4162278175354,0,
20,21,1411636681723.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.265108108520508,-0.1129668653011322,4.430886268615723,0,
21,22,1411636681842.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.247267723083496,-0.13037504255771637,4.461112022399902,0,
22,23,1411636681932.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.2252197265625,-0.14094316959381104,4.46804666519165,0,
23,24,1411636682145.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.205527305603027,-0.1296568363904953,4.437740325927734,0,
24,25,1411636682250.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.215600967407227,-0.11016722768545151,4.387400150299072,0,
25,26,1411636682345.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.24614429473877,-0.09061793982982635,4.329209804534912,0,
26,27,1411636682446.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.255674362182617,-0.07491014152765274,4.254045486450195,0,
27,28,1411636682538.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.220291137695312,-0.10538561642169952,4.185654640197754,0,
28,29,1411636682655.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.14571762084961,-0.1848762482404709,4.167027950286865,0,
29,30,1411636682740.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.050695419311523,-0.24729672074317932,4.208847522735596,0,
30,31,1411636682854.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-8.964716911315918,-0.2562166154384613,4.296000003814697,0,
31,32,1411636683043.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-8.933069229125977,-0.23781922459602356,4.387551784515381,0,
32,33,1411636683134.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-8.95837688446045,-0.21001724898815155,4.4465837478637695,0,
33,34,1411636683221.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-8.981134414672852,-0.18322740495204926,4.461904048919678,0,
34,35,1411636683301.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-8.973423957824707,-0.18696774542331696,4.445067405700684,0,
35,36,1411636683387.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-8.977432250976562,-0.22104424238204956,4.407957553863525,0,
36,37,1411636683463.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.03573226928711,-0.26286327838897705,4.36851167678833,0,
37,38,1411636683537.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.116666793823242,-0.2836059331893921,4.3522539138793945,0,
38,39,1411636683624.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.159399032592773,-0.2736808657646179,4.3502888679504395,0,
39,40,1411636683931.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.183674812316895,-0.25107383728027344,4.347291469573975,0,
40,41,1411636684016.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.235569953918457,-0.2268853485584259,4.336146831512451,0,
41,42,1411636684118.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.306878089904785,-0.2149777114391327,4.315069675445557,0,
42,43,1411636684207.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.34859848022461,-0.211292564868927,4.309916973114014,0,
43,44,1411636684308.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.33493709564209,-0.21226391196250916,4.338132858276367,0,
44,45,1411636684396.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.281034469604492,-0.2400103360414505,4.384947776794434,0,
45,46,1411636684501.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.20208740234375,-0.2668038308620453,4.414882183074951,0,
46,47,1411636684626.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.135056495666504,-0.23010343313217163,4.3978376388549805,0,
47,48,1411636684913.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.218419075012207,-0.05081472545862198,4.348448276519775,0,
48,49,1411636684976.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-8.93509578704834,-0.1788501739501953,4.32172155380249,0,
49,50,1411636685067.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.23583698272705,-0.054297465831041336,4.465438365936279,0,
50,51,1411636685152.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.06773567199707,-0.16194075345993042,4.490362644195557,0,
51,52,1411636685236.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.213703155517578,-0.49651408195495605,4.42835807800293,0,
52,53,1411636685339.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.116107940673828,-0.3280275762081146,4.408192157745361,0,
53,54,1411636685447.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.17851448059082,-0.2802811861038208,4.382914066314697,0,
54,55,1411636685655.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-8.872536659240723,-0.26045578718185425,4.396586894989014,0,
55,56,1411636685759.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-8.968463897705078,-0.2364094853401184,4.511803150177002,0,
56,57,1411636685932.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.07817554473877,-0.09560294449329376,4.514139652252197,0,
57,58,1411636686067.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-8.981269836425781,-0.3478740155696869,4.531586170196533,0,
58,59,1411636686201.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-8.870766639709473,-0.20972852408885956,4.565992832183838,0,
59,60,1411636686367.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,-9.105277061462402,-0.37974828481674194,4.469001293182373,0,
