,_id,timestamp,device_id,double_frequency,double_decibels,double_rms,is_silent,silence_threshold
0,1,1411636834198.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,118.0,27.010051246757527,311.73967853024243,0,100.0
1,2,1411636845807.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,28.68205254311171,289.44981559249226,1,390.0
2,3,1411636856379.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,29.8934889353232,266.89196781214474,1,376.0
3,4,1411636866809.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,166.0,25.61359279597603,371.1568877575373,0,362.0
4,5,1411636877950.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,100.0,29.737573645343605,228.12302795951283,1,387.0
5,6,1411636888462.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,170.0,18.930890399536786,891.8243126315264,0,367.0
6,7,1411636899132.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,166.0,27.3864379856296,247.01393857572987,1,491.0
7,8,1411636910558.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,104.0,31.11863115973439,211.81627545731965,1,465.0
8,9,1411636921357.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,21.627205930836546,299.1094195749646,1,440.0
9,10,1411636931761.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,291.0,24.706540773148205,414.7385911129242,1,433.0
10,11,1411636942263.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,152.0,25.208375432283333,377.91757396068965,1,441.0
11,12,1411636952924.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,239.0,12.724786593359177,1182.4600047191518,0,444.0
12,13,1411636963359.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,197.0,12.397233185869101,920.6420259891253,0,530.0
13,14,1411636974116.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,100.0,26.463226447831953,382.1373706562646,1,578.0
14,15,1411636984653.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,25.735859537015653,309.4348637368345,1,571.0
15,16,1411636995430.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,107.0,26.97447758759332,315.2462117855485,1,559.0
16,17,1411637005887.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,107.0,28.15123819553839,339.5416244835741,1,548.0
17,18,1411637016751.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,27.226608188877425,299.5136980091877,1,541.0
18,19,1411637027201.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,465.0,22.579019388181294,595.9870791588569,0,532.0
19,20,1411637037775.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,180.0,27.411290333451515,294.7577733754918,1,543.0
20,21,1411637048258.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,26.017419627784374,411.9680755987046,1,534.0
21,22,1411637058780.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,27.461209376817635,294.5687916318907,1,533.0
22,23,1411637069175.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,232.0,26.524808907548238,332.7897592648064,1,526.0
23,24,1411637080423.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,111.0,26.006827078132492,358.89025157227536,1,521.0
24,25,1411637091010.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,263.0,11.499665145923778,2111.5272475803636,0,518.0
25,26,1411637101434.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,253.0,18.07028619839191,587.4098054287899,1,603.0
26,27,1411637111852.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,111.0,26.74673365290172,315.48341364990085,1,608.0
27,28,1411637122471.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,291.0,22.719262424848882,622.8105657967401,0,600.0
28,29,1411637133120.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,375.0,6.822568153913551,1862.5550336761119,0,606.0
29,30,1411637143653.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,156.0,9.75141051505021,1101.5738208638131,0,666.0
30,31,1411637154122.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,284.0,13.926019843051673,1357.2582694471378,0,690.0
31,32,1411637164647.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,572.0,4.88099629037311,4233.18465413124,0,722.0
32,33,1411637175127.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,250.0,7.536630021204509,1128.5655072554125,0,865.0
33,34,1411637185606.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,131.0,17.80892667889709,1034.737066122087,0,881.0
34,35,1411637196204.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,152.0,11.749279757205786,1896.507685583081,0,893.0
35,36,1411637206666.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,156.0,14.827422684143981,974.174080605164,0,936.0
36,37,1411637217134.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,149.0,16.545943587363034,1234.7569440734076,0,944.0
37,38,1411637227671.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,305.0,8.801709771728657,1759.679896859006,0,960.0
38,39,1411637238865.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,243.0,6.645310693230054,1780.9624406044475,0,992.0
39,40,1411637249629.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,232.0,18.14918152825086,659.653643401954,1,1024.0
40,41,1411637260435.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,149.0,14.20034093655156,1464.0875971701626,0,1019.0
41,42,1411637271099.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,138.0,18.539082679050157,559.8150530873518,1,1039.0
42,43,1411637281636.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,97.0,12.163997041567791,1413.2481302933954,0,1031.0
43,44,1411637292155.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,131.0,13.307106811460343,1412.2864139155895,0,1048.0
44,45,1411637302997.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,23.100917604595583,379.1620220640438,1,1064.0
45,46,1411637313667.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,118.0,28.739862338128507,254.84821871720692,1,1051.0
46,47,1411637324293.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,27.13571908291457,305.6878215939152,1,1035.0
47,48,1411637335105.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,29.394717520377007,244.254804022755,1,1021.0
48,49,1411637345983.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,19.722958743434745,557.9052354442564,1,1006.0
49,50,1411637356757.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,173.0,28.15123819553839,273.0949354162395,1,1000.0
50,51,1411637367147.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,111.0,28.44757257167309,281.13575225843596,1,987.0
51,52,1411637377630.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,114.0,30.248409288121998,268.69581737404394,1,974.0
52,53,1411637388177.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,107.0,28.61747314050774,280.95076442545945,1,962.0
53,54,1411637398598.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,111.0,29.48114499602986,279.36579107989303,1,951.0
