,_id,timestamp,device_id,bssid,ssid,security,frequency,rssi,label
0,1,1411636715920.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,c0:4a:00:93:aa:c7,NaspersML,[WPA2-PSK-CCMP][ESS],2422,-48,
1,2,1411636715920.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,20:0b:c7:8f:04:a1,eduroam,[WPA2-EAP-CCMP][ESS],2462,-87,
2,3,1411636715920.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,20:0b:c7:8f:19:a1,eduroam,[WPA2-EAP-CCMP][ESS],2412,-81,
3,4,1411636715920.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,20:0b:c7:8f:16:22,Secure,[WPA2-EAP-CCMP][ESS],2462,-83,
4,5,1411636715920.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,20:0b:c7:8f:11:a1,eduroam,[WPA2-EAP-CCMP][ESS],2412,-77,
5,6,1411636715920.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,20:0b:c7:8f:16:23,eduroam,[WPA2-EAP-CCMP][ESS],2462,-77,
6,7,1411636715920.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,20:0b:c7:8f:04:a3,Secure,[WPA2-EAP-CCMP][ESS],2462,-88,
7,8,1411636715920.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,20:0b:c7:8f:11:a2,Clickers,[ESS],2412,-74,
8,9,1411636715920.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,20:0b:c7:8f:0f:21,MatiesWifi,[ESS],2437,-72,
9,10,1411636715920.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,20:0b:c7:8f:16:21,MatiesWifi,[ESS],2462,-74,
10,11,1411636715920.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,20:0b:c7:8f:16:20,Clickers,[ESS],2462,-74,
11,12,1411636715920.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,20:0b:c7:8f:00:82,MatiesWifi,[ESS],2412,-78,
12,13,1411636715920.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,20:0b:c7:8e:ee:61,Clickers,[ESS],2412,-79,
13,14,1411636715920.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,20:0b:c7:8f:0f:20,Clickers,[ESS],2437,-72,
